#datatype measurement,dateTime:RFC3339,float,float,double
speed,msgTime,latitude,longitude,gpsSpeed
speed,2021-08-18T17:07:22Z,41.20443,29.07296,26.7
speed,2021-08-18T17:07:17Z,41.20442,29.07239,20.4
speed,2021-08-18T17:07:13Z,41.20442,29.07195,14.6
speed,2021-08-18T17:07:09Z,41.20432,29.07165,12.9
speed,2021-08-18T17:07:05Z,41.20411,29.07148,13.2
speed,2021-08-18T17:07:02Z,41.20394,29.07136,13.8
speed,2021-08-18T17:07:01Z,41.20388,29.07132,13.7
speed,2021-08-18T17:06:57Z,41.20358,29.07112,15.1
speed,2021-08-18T17:06:52Z,41.2033,29.07104,15.1
speed,2021-08-18T17:06:48Z,41.20303,29.071,12.4
speed,2021-08-18T17:06:44Z,41.20285,29.07084,11.5
speed,2021-08-18T17:06:40Z,41.20279,29.07059,10.6
speed,2021-08-18T17:06:36Z,41.2028,29.07032,11.6
speed,2021-08-18T17:06:32Z,41.20277,29.07008,5.7
speed,2021-08-18T17:06:31Z,41.20277,29.07008,4
speed,2021-08-18T17:06:27Z,41.2027,29.07003,3.8
speed,2021-08-18T17:06:23Z,41.20263,29.07003,0
speed,2021-08-18T17:06:19Z,41.20262,29.07003,0.6
speed,2021-08-18T17:06:15Z,41.20254,29.07004,15.4
speed,2021-08-18T17:06:11Z,41.20225,29.07004,14.3
speed,2021-08-18T17:06:07Z,41.20197,29.07006,13.7
speed,2021-08-18T17:06:02Z,41.20165,29.07004,11.8
speed,2021-08-18T17:06:01Z,41.20154,29.07002,11.1
speed,2021-08-18T17:05:58Z,41.20144,29.07,9.1
speed,2021-08-18T17:05:54Z,41.20133,29.06999,2.7
speed,2021-08-18T17:05:50Z,41.20131,29.06997,0.1
speed,2021-08-18T17:05:46Z,41.20117,29.06996,17.1
speed,2021-08-18T17:05:42Z,41.20087,29.06997,13.5
speed,2021-08-18T17:05:37Z,41.20056,29.06992,13
speed,2021-08-18T17:05:33Z,41.20033,29.06986,11
speed,2021-08-18T17:05:30Z,41.2002,29.0698,6.8
speed,2021-08-18T17:05:29Z,41.20017,29.06979,4.8
speed,2021-08-18T17:05:25Z,41.2001,29.06975,3.7
speed,2021-08-18T17:05:21Z,41.19995,29.06967,13.7
speed,2021-08-18T17:05:17Z,41.19968,29.0695,17.6
speed,2021-08-18T17:05:13Z,41.19936,29.06923,15.7
speed,2021-08-18T17:05:08Z,41.19912,29.06904,12.8
speed,2021-08-18T17:05:04Z,41.19895,29.06894,9.2
speed,2021-08-18T17:05:00Z,41.19881,29.06887,8.1
speed,2021-08-18T17:04:59Z,41.19878,29.06884,8.6
speed,2021-08-18T17:04:56Z,41.19869,29.06878,6.7
speed,2021-08-18T17:04:52Z,41.19859,29.06868,6.5
speed,2021-08-18T17:04:48Z,41.19847,29.06853,7
speed,2021-08-18T17:04:43Z,41.1984,29.0684,6.8
speed,2021-08-18T17:04:39Z,41.19833,29.06827,5.7
speed,2021-08-18T17:04:35Z,41.19827,29.06822,3.8
speed,2021-08-18T17:04:31Z,41.19822,29.06827,3.7
speed,2021-08-18T17:04:29Z,41.19822,29.06829,0
speed,2021-08-18T17:04:27Z,41.19822,29.06829,0
speed,2021-08-18T17:04:23Z,41.19822,29.06829,0
speed,2021-08-18T17:04:18Z,41.19822,29.06829,0
speed,2021-08-18T17:04:14Z,41.19821,29.0683,1.2
speed,2021-08-18T17:04:10Z,41.19814,29.0683,4.9
speed,2021-08-18T17:04:06Z,41.19802,29.06833,6
speed,2021-08-18T17:04:02Z,41.19787,29.06838,8.3
speed,2021-08-18T17:03:58Z,41.19771,29.06849,4.5
speed,2021-08-18T17:03:53Z,41.19759,29.0686,8.7
speed,2021-08-18T17:03:49Z,41.19747,29.06872,5.6
speed,2021-08-18T17:03:45Z,41.19743,29.06878,1.1
speed,2021-08-18T17:03:41Z,41.19739,29.06882,5.8
speed,2021-08-18T17:03:37Z,41.1973,29.06893,6
speed,2021-08-18T17:03:33Z,41.19717,29.06906,6.7
speed,2021-08-18T17:03:28Z,41.19707,29.06916,6.6
speed,2021-08-18T17:03:23Z,41.19698,29.06926,0
speed,2021-08-18T17:03:19Z,41.19697,29.06927,2.2
speed,2021-08-18T17:03:15Z,41.19692,29.06932,4.1
speed,2021-08-18T17:03:11Z,41.19686,29.0694,5.8
speed,2021-08-18T17:03:07Z,41.19676,29.06953,8.7
speed,2021-08-18T17:03:03Z,41.19663,29.06972,8.6
speed,2021-08-18T17:02:58Z,41.19652,29.06988,8.7
speed,2021-08-18T17:02:57Z,41.19649,29.06992,8.7
speed,2021-08-18T17:02:54Z,41.19642,29.07004,8.3
speed,2021-08-18T17:02:50Z,41.19634,29.0702,8.3
speed,2021-08-18T17:02:46Z,41.19631,29.07039,8.1
speed,2021-08-18T17:02:42Z,41.19632,29.07057,8.1
speed,2021-08-18T17:02:38Z,41.19646,29.0707,8.1
speed,2021-08-18T17:02:33Z,41.19663,29.07071,8.5
speed,2021-08-18T17:02:29Z,41.1968,29.07075,8.6
speed,2021-08-18T17:02:27Z,41.19692,29.0708,8.1
speed,2021-08-18T17:02:25Z,41.19696,29.07081,8.2
speed,2021-08-18T17:02:21Z,41.19712,29.07086,8.7
speed,2021-08-18T17:02:17Z,41.19726,29.07096,8.7
speed,2021-08-18T17:02:13Z,41.19741,29.07114,8
speed,2021-08-18T17:02:08Z,41.19752,29.07126,7.3
speed,2021-08-18T17:02:04Z,41.19763,29.0714,8.3
speed,2021-08-18T17:02:00Z,41.19774,29.07154,7.1
speed,2021-08-18T17:01:56Z,41.19782,29.07163,5.5
speed,2021-08-18T17:01:52Z,41.19792,29.07172,7.5
speed,2021-08-18T17:01:48Z,41.19808,29.07186,8.4
speed,2021-08-18T17:01:43Z,41.19823,29.07195,8.2
speed,2021-08-18T17:01:39Z,41.19837,29.07204,7.6
speed,2021-08-18T17:01:35Z,41.19847,29.07214,5.8
speed,2021-08-18T17:01:31Z,41.19854,29.07221,3.9
speed,2021-08-18T17:01:27Z,41.19858,29.07224,1.7
